Subj	target	domain	age_c	age_c2	InputFile
s001	self	academic	-2.5846994535519	6.68067126519149	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s001_t1_con_0001.nii
s001	self	social	-2.5846994535519	6.68067126519149	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s001_t1_con_0002.nii
s001	other	academic	-2.5846994535519	6.68067126519149	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s001_t1_con_0003.nii
s001	other	social	-2.5846994535519	6.68067126519149	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s001_t1_con_0004.nii
s001	self	academic	0.4876712328767	0.23782323137548	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s001_t2_con_0001.nii
s001	self	social	0.4876712328767	0.23782323137548	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s001_t2_con_0002.nii
s001	other	academic	0.4876712328767	0.23782323137548	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s001_t2_con_0003.nii
s001	other	social	0.4876712328767	0.23782323137548	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s001_t2_con_0004.nii
s003	self	academic	-2.4617486338798	6.06020633640906	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s003_t1_con_0001.nii
s003	self	social	-2.4617486338798	6.06020633640906	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s003_t1_con_0002.nii
s003	other	academic	-2.4617486338798	6.06020633640906	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s003_t1_con_0003.nii
s003	other	social	-2.4617486338798	6.06020633640906	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s003_t1_con_0004.nii
s005	self	academic	-3.09191556254211	9.5599418458901	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s005_t1_con_0001.nii
s005	self	social	-3.09191556254211	9.5599418458901	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s005_t1_con_0002.nii
s005	other	academic	-3.09191556254211	9.5599418458901	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s005_t1_con_0003.nii
s005	other	social	-3.09191556254211	9.5599418458901	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s005_t1_con_0004.nii
s005	self	academic	-0.0273972602740002	0.000750609870521312	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s005_t2_con_0001.nii
s005	self	social	-0.0273972602740002	0.000750609870521312	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s005_t2_con_0002.nii
s005	other	academic	-0.0273972602740002	0.000750609870521312	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s005_t2_con_0003.nii
s005	other	social	-0.0273972602740002	0.000750609870521312	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s005_t2_con_0004.nii
s005	self	academic	3.6602739726027	13.3976055545127	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s005_t3_con_0001.nii
s005	self	social	3.6602739726027	13.3976055545127	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s005_t3_con_0002.nii
s005	other	academic	3.6602739726027	13.3976055545127	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s005_t3_con_0003.nii
s005	other	social	3.6602739726027	13.3976055545127	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s005_t3_con_0004.nii
s006	self	academic	-2.5983606557377	6.75147809728565	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s006_t1_con_0001.nii
s006	self	social	-2.5983606557377	6.75147809728565	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s006_t1_con_0002.nii
s006	other	academic	-2.5983606557377	6.75147809728565	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s006_t1_con_0003.nii
s006	other	social	-2.5983606557377	6.75147809728565	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s006_t1_con_0004.nii
s007	self	academic	-2.6748633879781	7.15489414434568	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s007_t1_con_0001.nii
s007	self	social	-2.6748633879781	7.15489414434568	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s007_t1_con_0002.nii
s007	other	academic	-2.6748633879781	7.15489414434568	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s007_t1_con_0003.nii
s007	other	social	-2.6748633879781	7.15489414434568	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s007_t1_con_0004.nii
s007	self	academic	0.326027397260299	0.106293863764325	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s007_t2_con_0001.nii
s007	self	social	0.326027397260299	0.106293863764325	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s007_t2_con_0002.nii
s007	other	academic	0.326027397260299	0.106293863764325	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s007_t2_con_0003.nii
s007	other	social	0.326027397260299	0.106293863764325	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s007_t2_con_0004.nii
s008	self	academic	0.561643835616399	0.315443798085901	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s008_t2_con_0001.nii
s008	self	social	0.561643835616399	0.315443798085901	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s008_t2_con_0002.nii
s008	other	academic	0.561643835616399	0.315443798085901	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s008_t2_con_0003.nii
s008	other	social	0.561643835616399	0.315443798085901	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s008_t2_con_0004.nii
s009	self	academic	-3.45901639344262	11.9647944101048	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s009_t1_con_0001.nii
s009	self	social	-3.45901639344262	11.9647944101048	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s009_t1_con_0002.nii
s009	other	academic	-3.45901639344262	11.9647944101048	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s009_t1_con_0003.nii
s009	other	social	-3.45901639344262	11.9647944101048	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s009_t1_con_0004.nii
s009	self	academic	-0.339726027397299	0.115413773691151	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s009_t2_con_0001.nii
s009	self	social	-0.339726027397299	0.115413773691151	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s009_t2_con_0002.nii
s009	other	academic	-0.339726027397299	0.115413773691151	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s009_t2_con_0003.nii
s009	other	social	-0.339726027397299	0.115413773691151	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s009_t2_con_0004.nii
s010	self	academic	-2.6448087431694	6.9950132879453	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s010_t1_con_0001.nii
s010	self	social	-2.6448087431694	6.9950132879453	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s010_t1_con_0002.nii
s010	other	academic	-2.6448087431694	6.9950132879453	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s010_t1_con_0003.nii
s010	other	social	-2.6448087431694	6.9950132879453	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s010_t1_con_0004.nii
s011	self	academic	-0.0794520547944995	0.00631262901106814	/projects/dsnlab/SFIC_Self3/analysis/rx/LME_FX/s011_t2_con_0001.nii
